Standard,Class Name,Day,Semester,Session  ,Subject,Teacher,Time Start,Time End,Location
5,1,MONDAY,2,1,7,51,7:00 AM,7:30 AM,7
5,1,MONDAY,2,1,32,,7:30 AM,8:00 AM,1
5,1,MONDAY,2,1,9,29,8:00 AM,8:30 AM,7
5,1,MONDAY,2,1,9,29,8:30 AM,9:00 AM,7
5,1,MONDAY,2,1,23,51,9:00 AM,9:30 AM,7
5,1,MONDAY,2,1,23,51,9:30 AM,10:00 AM,7
5,1,MONDAY,2,1,23,51,10:00 AM,10:30 AM,7
5,1,MONDAY,2,1,Rehat,,10:30 AM,11:00 AM,7
5,1,MONDAY,2,1,11,25,11:00 AM,11:30 AM,7
5,1,MONDAY,2,1,11,25,11:30 AM,12:00 PM,7
5,1,MONDAY,2,1,11,27,11:00 AM,11:30 AM,7
5,1,MONDAY,2,1,11,27,11:30 AM,12:00 PM,7
5,1,MONDAY,2,1,11,31,11:00 AM,11:30 AM,7
5,1,MONDAY,2,1,11,31,11:30 AM,12:00 PM,7
5,1,MONDAY,2,1,12,44,11:00 AM,11:30 AM,7
5,1,MONDAY,2,1,12,44,11:30 AM,12:00 PM,7
5,1,MONDAY,2,1,15,13,12:00 PM,12:30 PM,7
5,1,MONDAY,2,1,15,13,12:30 PM,1:00 PM,7
5,1,MONDAY,2,1,14,28,1:00 PM,1:30 PM,7
5,1,MONDAY,2,1,14,28,1:30 PM,2:00 PM,7
5,1,TUESDAY,2,1,7,51,7:00 AM,7:30 AM,7
5,1,TUESDAY ,2,1,20,20,7:30 AM,8:00 AM,7
5,1,TUESDAY,2,1,20,20,8:00 AM,8:30 AM,7
5,1,TUESDAY,2,1,15,13,8:30 AM,9:00 AM,7
5,1,TUESDAY,2,1,15,13,9:00 AM,9:30 AM,7
5,1,TUESDAY,2,1,11,25,9:30 AM,10:00 AM,7
5,1,TUESDAY,2,1,11,25,10:00 AM,10:30 AM,7
5,1,TUESDAY,2,1,11,27,9:30 AM,10:00 AM,7
5,1,TUESDAY ,2,1,11,27,10:00 AM,10:30 AM,7
5,1,TUESDAY,2,1,11,31,9:30 AM,10:00 AM,7
5,1,TUESDAY,2,1,11,31,10:00 AM,10:30 AM,7
5,1,TUESDAY,2,1,12,44,9:30 AM,10:00 AM,7
5,1,TUESDAY,2,1,12,44,10:00 AM,10:30 AM,7
5,1,TUESDAY,2,1,Rehat,,10:30 AM,11:00 AM,7
5,1,TUESDAY,2,1,25,32,11:00 AM,11:30 AM,7
5,1,TUESDAY ,2,1,25,32,11:30 AM,12:00 PM,7
5,1,TUESDAY,2,1,25,32,12:00 PM,12:30 PM,7
5,1,TUESDAY,2,1,14,28,12:30 PM,1:00 PM,7
5,1,TUESDAY,2,1,14,28,1:00 PM,1:30 PM,7
5,1,WEDNESDAY,2,1,7,51,7:00 AM,7:30 AM,7
5,1,WEDNESDAY,2,1,9,29,7:30 AM,8:00 AM,7
5,1,WEDNESDAY,2,1,9,29,8:00 AM,8:30 AM,7
5,1,WEDNESDAY,2,1,9,29,8:30 AM,9:00 AM,7
5,1,WEDNESDAY,2,1,33,43,9:00 AM,9:30 AM,7
5,1,WEDNESDAY,2,1,33,43,9:30 AM,10:00 AM,7
5,1,WEDNESDAY,2,1,33,43,10:00 AM,10:30 AM,7
5,1,WEDNESDAY,2,1,Rehat,,10:30 AM,11:00 AM,7
5,1,WEDNESDAY,2,1,26,17,11:00 AM,11:30 AM,7
5,1,WEDNESDAY,2,1,26,17,11:30 AM,12:00 PM,7
5,1,WEDNESDAY,2,1,26,17,12:00 PM,12:30 PM,7
5,1,WEDNESDAY,2,1,20,20,12:30 PM,1:00 PM,7
5,1,WEDNESDAY,2,1,20,20,1:00 PM,1:30 PM,7
5,1,THURSDAY,2,1,7,51,7:00 AM,7:30 AM,7
5,1,THURSDAY,2,1,8,30,7:30 AM,8:00 AM,7
5,1,THURSDAY,2,1,8,30,8:00 AM,8:30 AM,7
5,1,THURSDAY,2,1,8,13,7:30 AM,8:00 AM,7
5,1,THURSDAY,2,1,8,13,8:00 AM,8:30 AM,7
5,1,THURSDAY,2,1,8,21,7:30 AM,8:00 AM,7
5,1,THURSDAY,2,1,8,21,8:00 AM,8:30 AM,7
5,1,THURSDAY,2,1,9,29,8:30 AM,9:00 AM,7
5,1,THURSDAY,2,1,9,29,9:00 AM,9:30 AM,7
5,1,THURSDAY,2,1,14,28,9:30 AM,10:00 AM,7
5,1,THURSDAY,2,1,14,28,10:00 AM,10:30 AM,7
5,1,THURSDAY,2,1,Rehat,,10:30 AM,11:00 AM,7
5,1,THURSDAY,2,1,11,25,11:00 AM,11:30 AM,7
5,1,THURSDAY,2,1,11,27,11:00 AM,11:30 AM,7
5,1,THURSDAY,2,1,11,31,11:00 AM,11:30 AM,7
5,1,THURSDAY,2,1,12,44,11:00 AM,11:30 AM,7
5,1,THURSDAY,2,1,26,17,11:30 AM,12:00 PM,7
5,1,THURSDAY,2,1,26,17,12:00 PM,12:30 PM,7
5,1,THURSDAY,2,1,23,51,12:30 PM,1:00 PM,7
5,1,THURSDAY,2,1,23,51,1:00 PM,1:30 PM,7
5,1,FRIDAY,2,1,7,51,7:00 AM,7:30 AM,7
5,1,FRIDAY,2,1,20,20,7:30 AM,8:00 AM,7
5,1,FRIDAY,2,1,20,20,8:00 AM,8:30 AM,7
5,1,FRIDAY,2,1,8,30,8:30 AM,9:00 AM,7
5,1,FRIDAY,2,1,8,30,9:00 AM,9:30 AM,7
5,1,FRIDAY,2,1,8,13,8:30 AM,9:00 AM,7
5,1,FRIDAY,2,1,8,13,9:00 AM,9:30 AM,7
5,1,FRIDAY,2,1,8,21,8:30 AM,9:00 AM,7
5,1,FRIDAY,2,1,8,21,9:00 AM,9:30 AM,7
5,1,FRIDAY,2,1,25,32,9:30 AM,10:00 AM,7
5,1,FRIDAY,2,1,25,32,10:00 AM,10:30 AM,7
5,1,FRIDAY,2,1,Rehat,,10:30 AM,11:00 AM,7
5,1,FRIDAY,2,1,33,43,11:00 AM,11:30 AM,7
5,1,FRIDAY,2,1,33,43,11:30 AM,12:00 PM,7
5,2,MONDAY,2,1,7,42,7:00 AM,7:30 AM,12
5,2,MONDAY,2,1,32,,7:30 AM,8:00 AM,12
5,2,MONDAY,2,1,9,53,8:00 AM,8:30 AM,12
5,2,MONDAY,2,1,9,53,8:30 AM,9:00 AM,12
5,2,MONDAY,2,1,26,17,9:00 AM,9:30 AM,12
5,2,MONDAY,2,1,26,17,9:30 AM,10:00 AM,12
5,2,MONDAY,2,1,26,17,10:00 AM,10:30 AM,12
5,2,MONDAY,2,1,Rehat,,10:30 AM,11:00 AM,12
5,2,MONDAY,2,1,11,25,11:00 AM,11:30 AM,12
5,2,MONDAY,2,1,11,25,11:30 AM,12:00 PM,12
5,2,MONDAY,2,1,11,27,11:00 AM,11:30 AM,12
5,2,MONDAY,2,1,11,27,11:30 AM,12:00 PM,12
5,2,MONDAY,2,1,11,31,11:00 AM,11:30 AM,12
5,2,MONDAY,2,1,11,31,11:30 AM,12:00 PM,12
5,2,MONDAY,2,1,12,44,11:00 AM,11:30 AM,12
5,2,MONDAY,2,1,12,44,11:30 AM,12:00 PM,12
5,2,MONDAY,2,1,20,20,12:00 PM,12:30 PM,12
5,2,MONDAY,2,1,20,20,12:30 PM,1:00 PM,12
5,2,MONDAY,2,1,14,12,1:00 PM,1:30 PM,12
5,2,MONDAY,2,1,14,12,1:30 PM,2:00 PM,12
5,2,TUESDAY,2,1,7,42,7:00 AM,7:30 AM,12
5,2,TUESDAY,2,1,25,42,7:30 AM,8:00 AM,12
5,2,TUESDAY,2,1,25,42,8:00 AM,8:30 AM,12
5,2,TUESDAY,2,1,33,28,8:30 AM,9:00 AM,12
5,2,TUESDAY,2,1,33,28,9:00 AM,9:30 AM,12
5,2,TUESDAY,2,1,11,25,9:30 AM,10:00 AM,12
5,2,TUESDAY,2,1,11,25,10:00 AM,10:30 AM,12
5,2,TUESDAY,2,1,11,27,9:30 AM,10:00 AM,12
5,2,TUESDAY,2,1,11,27,10:00 AM,10:30 AM,12
5,2,TUESDAY,2,1,11,31,9:30 AM,10:00 AM,12
5,2,TUESDAY,2,1,11,31,10:00 AM,10:30 AM,12
5,2,TUESDAY,2,1,12,44,9:30 AM,10:00 AM,12
5,2,TUESDAY,2,1,12,44,10:00 AM,10:30 AM,12
5,2,TUESDAY,2,1,Rehat,,10:30 AM,11:00 AM,12
5,2,TUESDAY,2,1,15,45,11:00 AM,11:30 AM,12
5,2,TUESDAY,2,1,15,45,11:30 AM,12:00 PM,12
5,2,TUESDAY,2,1,14,12,12:00 PM,12:30 PM,12
5,2,TUESDAY,2,1,14,12,12:30 PM,1:00 PM,12
5,2,TUESDAY,2,1,9,53,1:00 PM,1:30 PM,12
5,2,WEDNESDAY,2,1,7,42,7:00 AM,7:30 AM,12
5,2,WEDNESDAY,2,1,33,28,7:30 AM,8:00 AM,12
5,2,WEDNESDAY,2,1,33,28,8:00 AM,8:30 AM,12
5,2,WEDNESDAY,2,1,33,28,8:30 AM,9:00 AM,12
5,2,WEDNESDAY,2,1,25,42,9:00 AM,9:30 AM,12
5,2,WEDNESDAY,2,1,25,42,9:30 AM,10:00 AM,12
